day,time_vancouver,time_toronto,platform,pillar,format,copy,asset_brief,cta,link,evergreen,status,reach,profile_visits,link_clicks,waitlist_requests,notes,content_id,experiment_id,link_placement,account_handle,asset_path,scheduled_at,publish_ref,published_at,observed_at,metric_source,measurement_status
1,18:30,21:30,instagram,소개,carousel,"캐나다의 오늘을, 한국어로 나눌 곳.

밴쿠버의 저녁 메뉴부터 토론토에서 막 생긴 작은 질문까지. 가까운 동네 이야기를 모으는 글링을 준비하고 있어요.

먼저 열리는 도시는 밴쿠버와 토론토예요. 출시 준비 중인 앱 화면은 프로필 링크에서 볼 수 있어요.

#글링 #캐나다생활 #밴쿠버 #토론토 #한인커뮤니티",카드 3장: 캐나다의 오늘을 한국어로 / 밴쿠버·토론토 / 출시 준비 중·앱 화면 보기,프로필 링크의 앱 화면 보기,https://gling.ej-entertainment.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=profile,yes,draft,,,,,"2026-09-09: 소개 화면을 주 CTA로, 이메일 오픈 알림은 선택 행동으로 조정. 성과 미관측. 공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-10T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지.",GL-P001,,profile,@gling.app,,,,,,,not_collected
2,18:30,21:30,threads,소개,text,"밴쿠버에서 혼자 밥 먹기 편한 곳, 동네 사람에게 물어볼 수 있다면?

도시별로 글과 댓글을 나누는 글링을 준비하고 있어요. 먼저 시작하는 도시는 밴쿠버와 토론토예요. 출시 준비 중인 앱 화면은 아래 링크에서 볼 수 있어요.

https://gling.ej-entertainment.com/?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=gl_p002",텍스트만,본문 링크의 앱 화면 보기,https://gling.ej-entertainment.com/?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=gl_p002,yes,scheduled,,,,,GL-L001 B 첫 문장을 초안에 반영. A와 동일 본문·CTA로 후속 탐색 가능. 예약/발행/승자 판정 전. 2026-09-09: 첫 실행은 준비된 Threads부터 진행. GL-L001 B와 본문을 Patina ko/social/casual/preserve --verify로 검수(최종 원고 일치). 네이티브 예약 저장 후 임시 저장본 목록에서 1건·전체 본문·9/10 18:30 GMT-7 확인. publish_ref는 예약 목록을 여는 프로필 URL이며 개별 게시물 URL/ID는 UI 미제공. 상세 증거 marketing/reports/2026-09-09/gl-p002-reservation.json. 기존 day는 원래 계획이며 실제 시각은 scheduled_at. 공개 발행·성과는 미관측.,GL-P002,GL-L001,body,@gling.app,,2026-09-10T18:30:00-07:00,https://www.threads.com/@gling.app,,,,not_collected
3,18:30,21:30,instagram,대화,question_card,"검색까지 하기엔 너무 사소해서, 그냥 사람한테 묻고 싶은 질문.

혼자 밥 먹기 편한 분위기, 비 오는 날 걷기 좋은 길, 퇴근하고 잠깐 쉬어갈 곳. 동네에서는 이런 질문도 자주 생기죠.

묻고 싶은 질문 하나만 남겨주세요. 도시도 편하면 같이 적어주세요. 정확한 주소나 개인정보는 안 남겨도 괜찮아요.

#글링 #우리동네 #캐나다일상 #밴쿠버생활 #토론토생활",질문 카드: 동네 사람에게 묻고 싶은 작은 질문 하나,도시·생활 주제 댓글,https://gling.ej-entertainment.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=profile,yes,draft,,,,,"공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-12T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지. 주된 변경: 도시 응답을 선택 사항으로 안내. learning_basis=GL-L003. Patina 실제 재처리=daily-001235/gl-p003.retry.patina.txt, 검증=passed. 로컬 저장 본문 대조.",GL-P003,GL-L003,profile,@gling.app,,,,,,,not_collected
4,18:30,21:30,threads,대화,text,"검색창에는 못 적겠고, 동네 사람한테는 물어보고 싶은 질문 있나요?

저녁 메뉴 같은 작은 질문이어도 좋아요. 밴쿠버·토론토 동네 질문 하나만 남겨주세요. 도시는 편하면 같이 적어주세요.",텍스트만,도시·생활 주제 댓글,,yes,scheduled,,,,," 2026-09-10 daily-001235: Patina 최종 본문으로 네이티브 예약·작성자·전체 본문·줄바꿈·시간 재조회. UI 개별 예약 ID/URL 미제공; publish_ref는 로컬 실제 예약 영수증이며 플랫폼 공개 URL이 아님. 큐 경로 https://www.threads.com/@gling.app → 새로운 스레드 → 임시 저장본. learning_basis=GL-L003,GL-L002. 공개 발행·성과 미관측.",GL-P004,GL-L003,none,@gling.app,,2026-09-12T18:30:00-07:00,file:///Users/ash/Desktop/Git/unknown/mobile/marketing/reports/2026-09-10/daily-001235/gl-p004-reservation.json,,,,not_collected
5,18:30,21:30,instagram,만드는과정,screen_recording,"한 도시의 이야기부터 천천히 채우고 있어요.

글링에서는 먼저 밴쿠버와 토론토를 고르고, 관심 있는 주제로 글을 둘러볼 수 있어요. 출시를 준비하면서 운영자가 첫 이야기를 채우고 있어요.

어떤 카테고리를 가장 먼저 열어보고 싶으세요?

#글링 #앱개발일기 #캐나다커뮤니티",최신 앱 화면 녹화 10초: 도시 선택→카테고리. 이전 목업 표시가 남은 캡처 교체,보고 싶은 카테고리,https://gling.ej-entertainment.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=profile,yes,draft,,,,,공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-14T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지.,GL-P005,,profile,@gling.app,,,,,,,not_collected
6,18:30,21:30,threads,만드는과정,text,"글링에는 라이프·맛집·여행·쇼핑·정착·이동·주거·교육·모임까지, 모두 9개 카테고리가 있어요.
첫 화면에 어떤 이야기가 보여야 다시 들어와 보고 싶을까요?
운영자가 먼저 준비한 이야기로, 함께 시작해 볼 분들을 기다리고 있어요.",텍스트만,보고 싶은 카테고리,,yes,scheduled,,,,," 2026-09-10 daily-001235: Patina 최종 본문으로 네이티브 예약·작성자·전체 본문·줄바꿈·시간 재조회. UI 개별 예약 ID/URL 미제공; publish_ref는 로컬 실제 예약 영수증이며 플랫폼 공개 URL이 아님. 큐 경로 https://www.threads.com/@gling.app → 새로운 스레드 → 임시 저장본. learning_basis=GL-L002,제품 컨텍스트. 공개 발행·성과 미관측.",GL-P006,,none,@gling.app,,2026-09-14T18:30:00-07:00,file:///Users/ash/Desktop/Git/unknown/mobile/marketing/reports/2026-09-10/daily-001235/gl-p006-reservation.json,,,,not_collected
8,18:30,21:30,instagram,생활주제,carousel,"새 동네에 익숙해지는 데 필요한 건, 작은 루틴일지도.

1. 집 근처에서 편하게 걸을 길 찾기
2. 자주 먹는 한 끼 정해보기
3. 쉬어갈 장소 하나 기억하기

낯선 도시가 조금 편해졌던 순간을 하나 남겨주세요. 생활에 관한 이야기만으로도 누군가에게 도움이 될 수 있어요.

#글링 #캐나다정착 #동네생활",카드 4장: 새 동네 루틴 / 걷기 / 한 끼 / 쉬어갈 곳,정착 경험 댓글·저장,https://gling.ej-entertainment.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=profile,yes,draft,,,,,공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록.,GL-P007,,profile,,,,,,,,not_collected
9,18:30,21:30,threads,생활주제,text,"지도 없이 장을 보고 집에 돌아왔을 때. 자주 가는 가게가 생겼을 때.
새 동네가 조금 익숙해졌다고 느끼는 순간, 언제였어요?",텍스트만,정착 경험 댓글·저장,,yes,draft,,,,,,GL-P008,,none,,,,,,,,not_collected
10,18:30,21:30,instagram,대화,question_card,"첫 모임이 꼭 시끌벅적할 필요는 없으니까.

잠깐 산책하기, 카페에서 각자 할 일 하기, 읽는 책 한 권 이야기하기. 처음에도 덜 부담스러운 만남을 생각하고 있어요.

어떤 형식이 편할까요? 이 게시물은 모임 아이디어를 묻는 글이며 실제 행사 모집은 아닙니다.

#글링 #모임아이디어 #밴쿠버 #토론토",질문 카드 1장+스토리 투표. 확정 장소·일정·참가 인원 없음,모임 형식 투표,https://gling.ej-entertainment.com/?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=profile,yes,draft,,,,,공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록.,GL-P009,,profile,,,,,,,,not_collected
11,18:30,21:30,threads,대화,text,"처음 만나는 사람들과는 어떤 활동이 가장 편해요?
짧은 산책 / 각자 할 일 하기 / 책 이야기 / 다른 아이디어
글링에 어울릴 모임을 고민 중이에요. 아직 실제 행사 모집은 아닙니다.",텍스트만,모임 형식 투표,,yes,draft,,,,,,GL-P010,,none,,,,,,,,not_collected
