day,time_vancouver,time_toronto,platform,pillar,format,copy,asset_brief,cta,link,evergreen,status,reach,profile_visits,link_clicks,waitlist_requests,notes,content_id,experiment_id,link_placement,account_handle,asset_path,scheduled_at,publish_ref,published_at,observed_at,metric_source,measurement_status
1,18:30,21:30,instagram,소개,carousel,"새 동네에서 처음 외워두고 싶은 곳 세 군데.

장 볼 곳, 자주 타는 정류장, 잠깐 쉬어갈 곳.
이름을 메모할 때 휴무일이나 막차처럼 다시 확인할 것도 같이 적어두면 다음에 찾기 편해요.

밴쿠버든 토론토든, 처음 익혀둬서 편했던 곳이 있나요?

#글링 #캐나다생활 #동네생활","로컬 브리프 · 기존 캐러셀 3장. 장보기 장소 / 자주 탈 정류장 / 쉬어갈 곳을 각각 하나씩 담고 Patina 최종 본문의 해당 문장만 사용. 실제 장소·방문 경험을 만들지 않음. 앱 화면·출시 배너·URL·QR·프로필 유도 없음. 기존 카드 형식 재사용, 이미지 파일 미제작.",처음 익혀두어 편했던 장소 유형 이야기(선택),,yes,draft,,,,,"2026-09-09: 소개 화면을 주 CTA로, 이메일 오픈 알림은 선택 행동으로 조정. 성과 미관측. 공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-10T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P001,GL-L007,none,@gling.app,,,,,,,not_collected
2,18:30,21:30,threads,소개,text,"밴쿠버에서 혼자 밥 먹을 곳 물어볼 때, 메뉴 말고도 궁금한 게 있어요.

혼자 앉기 편한 자리인지, 잠깐 먹고 나오기 좋은 분위기인지.
추천받을 때 이런 조건 하나 같이 적어보면 어때요?

혼밥할 곳 고를 때 제일 먼저 보는 건 뭐예요?

#글링 #밴쿠버생활 #혼밥",로컬 텍스트만. 최종 Patina 본문과 줄바꿈 사용. 식당 방문·추천 성공 경험·앱 홍보·링크 추가 없음. 외부 입력 금지.,혼밥 장소 선택 조건 이야기(선택),,yes,draft,,,,,GL-L001 B 첫 문장을 초안에 반영. A와 동일 본문·CTA로 후속 탐색 가능. 예약/발행/승자 판정 전. 2026-09-09: 첫 실행은 준비된 Threads부터 진행. GL-L001 B와 본문을 Patina ko/social/casual/preserve --verify로 검수(최종 원고 일치). 네이티브 예약 저장 후 임시 저장본 목록에서 1건·전체 본문·9/10 18:30 GMT-7 확인. publish_ref는 예약 목록을 여는 프로필 URL이며 개별 게시물 URL/ID는 UI 미제공. 상세 증거 marketing/reports/2026-09-09/gl-p002-reservation.json. 기존 day는 원래 계획이며 실제 시각은 scheduled_at. 공개 발행·성과는 미관측. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 기존 예약 2026-09-10T18:30:00-07:00 해제·네이티브 임시 저장본 제거 완료; 본문 보존. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.,GL-P002,GL-L007,none,@gling.app,,,,,,,not_collected
3,18:30,21:30,instagram,대화,question_card,"검색까지 하기엔 너무 사소해서, 그냥 사람한테 묻고 싶은 질문.

혼자 밥 먹기 편한 분위기, 비 오는 날 걷기 좋은 길, 퇴근하고 잠깐 쉬어갈 곳. 동네에서는 이런 질문도 자주 생기죠.

묻고 싶은 질문 하나만 남겨주세요. 도시도 편하면 같이 적어주세요. 정확한 주소나 개인정보는 안 남겨도 괜찮아요.

#글링 #우리동네 #캐나다일상 #밴쿠버생활 #토론토생활",질문 카드: 동네 사람에게 묻고 싶은 작은 질문 하나,도시·생활 주제 댓글,,yes,draft,,,,,"공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-12T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지. 주된 변경: 도시 응답을 선택 사항으로 안내. learning_basis=GL-L003. Patina 실제 재처리=daily-001235/gl-p003.retry.patina.txt, 검증=passed. 로컬 저장 본문 대조. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P003,GL-L003,none,@gling.app,,,,,,,not_collected
4,18:30,21:30,threads,대화,text,"검색창에는 못 적겠고, 동네 사람한테는 물어보고 싶은 질문 있나요?

저녁 메뉴 같은 작은 질문이어도 좋아요. 밴쿠버·토론토 동네 질문 하나만 남겨주세요. 도시는 편하면 같이 적어주세요.",텍스트만,도시·생활 주제 댓글,,yes,draft,,,,," 2026-09-10 daily-001235: Patina 최종 본문으로 네이티브 예약·작성자·전체 본문·줄바꿈·시간 재조회. UI 개별 예약 ID/URL 미제공; publish_ref는 로컬 실제 예약 영수증이며 플랫폼 공개 URL이 아님. 큐 경로 https://www.threads.com/@gling.app → 새로운 스레드 → 임시 저장본. learning_basis=GL-L003,GL-L002. 공개 발행·성과 미관측. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 기존 예약 2026-09-12T18:30:00-07:00 해제·네이티브 임시 저장본 제거 완료; 본문 보존. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P004,GL-L003,none,@gling.app,,,,,,,not_collected
5,18:30,21:30,instagram,만드는과정,carousel,"저녁 메뉴가 안 정해지면 메뉴보다 조건부터 골라봐요.

오늘은 집 근처에서 먹을지.
포장해서 가져올지.
천천히 앉아 먹을 시간이 있는지.

조건 하나를 정한 뒤 먹고 싶은 걸 골라도 괜찮아요.

#글링 #캐나다일상 #저녁메뉴",로컬 브리프 · 기존 생활 캐러셀 형식 3장. 집 근처 / 포장 / 앉아 먹을 시간의 조건을 하나씩 담고 Patina 최종 문장 그대로 사용. 기존 앱 녹화 계획은 중단. 새 시각 스타일 제안·앱 시연·URL·QR·홍보 배너 없음. 이미지 파일 미제작.,별도 요청 없음; 생활 메모 자체로 완결,,yes,draft,,,,,공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10 daily-001235: 계획 2026-09-14T18:30:00-07:00 (네이티브 예약 아님). 소재·클릭 가능한 프로필 링크·예약 도구 미완료. 검증 전 draft 유지; 소급·몰아 발행 금지. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 daily-draft-093112: GL-L006 exploratory. 기능 설명의 도입을 밴쿠버 저녁 메뉴 상황으로 구체화; 제품 사실·기존 CTA 유지. Patina 1회(내부 의미 재시도 1회) 최종 100/100 통과. 로컬 CSV 본문 대조; 소재는 브리프만. 명시적 재개 전 외부 입력·예약·발행 금지. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.,GL-P005,GL-L007,none,@gling.app,,,,,,,not_collected
6,18:30,21:30,threads,만드는과정,text,"오늘 저녁, 딱히 먹고 싶은 건 없는데 아무거나 먹고 싶진 않을 때.

따뜻한 국물 / 간단한 한 그릇 / 집에 있는 재료로 만들기

지금 기분은 어느 쪽에 가까워요?

#글링 #캐나다일상 #저녁메뉴",로컬 텍스트만. 국물·한 그릇·집 재료 선택 예시와 최종 질문을 Patina 출력 그대로 사용. 기능 목록·이용자 모집·후기·링크 없음.,지금 먹고 싶은 메뉴 유형 이야기(선택),,yes,draft,,,,," 2026-09-10 daily-001235: Patina 최종 본문으로 네이티브 예약·작성자·전체 본문·줄바꿈·시간 재조회. UI 개별 예약 ID/URL 미제공; publish_ref는 로컬 실제 예약 영수증이며 플랫폼 공개 URL이 아님. 큐 경로 https://www.threads.com/@gling.app → 새로운 스레드 → 임시 저장본. learning_basis=GL-L002,제품 컨텍스트. 공개 발행·성과 미관측. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 기존 예약 2026-09-14T18:30:00-07:00 해제·네이티브 임시 저장본 제거 완료; 본문 보존. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 daily-draft-093112: GL-L006 exploratory. 기능 설명의 도입을 밴쿠버 저녁 메뉴 상황으로 구체화; 제품 사실·기존 CTA 유지. Patina 1회(내부 의미 재시도 1회) 최종 100/100 통과. 로컬 CSV 본문 대조; 소재는 브리프만. 명시적 재개 전 외부 입력·예약·발행 금지. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P006,GL-L007,none,@gling.app,,,,,,,not_collected
8,18:30,21:30,instagram,생활주제,carousel,"새 동네에 익숙해지는 데 필요한 건 작은 루틴일지도 몰라요.

1. 집 근처에서 편하게 걸을 길 찾기
2. 자주 먹는 한 끼 정해보기
3. 쉬어갈 장소 하나 기억하기

새 동네에서 다시 찾게 된 곳이 있나요? 산책길, 한 끼 먹을 곳, 쉬어갈 곳 중 하나만 골라 어떤 점이 편했는지 남겨주세요. 장소 이름이나 정확한 주소는 적지 않아도 괜찮아요.

#글링 #캐나다정착 #동네생활","로컬 제작 브리프 · 캐러셀 4장. 1장 작은 루틴 도입, 2장 산책길, 3장 한 끼, 4장 쉬어갈 곳과 최종 질문. 각 장은 해당 루틴 하나만 보여주고 마지막 질문은 Patina 최종 본문 그대로 사용. 실제 고객 후기·가게 이름·정확한 주소·이용자 수를 만들지 않음. 삽화는 개념 예시로만 제작하고 장소 방문 증거로 표현하지 않음. 이미지 파일 미제작; 외부 업로드 금지.",다시 찾은 장소 유형 하나와 편했던 점 댓글,,yes,draft,,,,,"공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-10 daily-draft-093300: GL-L005 exploratory, 익숙해진 순간 대신 다시 찾은 곳의 편했던 점을 묻는 로컬 초안·소재 브리프 개선. Patina 최종 통과/CSV 본문 대조. 명시적 재개 전 업로드·예약·발행 금지. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P007,GL-L005,none,@gling.app,,,,,,,not_collected
9,18:30,21:30,threads,생활주제,text,"새 동네에서 다시 찾게 된 곳이 있나요?

산책길, 한 끼 먹을 곳, 쉬어갈 곳 중 하나만 골라 어떤 점이 편했는지 남겨주세요. 장소 이름이나 정확한 주소는 적지 않아도 괜찮아요.",로컬 텍스트 초안. 도입 질문 한 줄과 선택 예시·편했던 점 질문을 줄바꿈으로 구분. 별도 이미지 없이 최종 Patina 본문 사용. 실제 장소·고객 경험·댓글을 추가하지 않음. 외부 작성창 입력 금지.,다시 찾은 장소 유형 하나와 편했던 점 댓글,,yes,draft,,,,," 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-10 daily-draft-093300: GL-L005 exploratory, 익숙해진 순간 대신 다시 찾은 곳의 편했던 점을 묻는 로컬 초안·소재 브리프 개선. Patina 최종 통과/CSV 본문 대조. 명시적 재개 전 업로드·예약·발행 금지. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.",GL-P008,GL-L005,none,@gling.app,,,,,,,not_collected
10,18:30,21:30,instagram,대화,question_card,"첫 모임이 꼭 시끌벅적할 필요는 없으니까.

잠깐 산책하기, 카페에서 각자 할 일 하기, 읽는 책 한 권 이야기하기. 처음에도 덜 부담스러운 만남을 생각하고 있어요.

어떤 형식이 편할까요? 이 게시물은 모임 아이디어를 묻는 글이며 실제 행사 모집은 아닙니다.

#글링 #모임아이디어 #밴쿠버 #토론토",질문 카드 1장+스토리 투표. 확정 장소·일정·참가 인원 없음,모임 형식 투표,,yes,draft,,,,,공용 프로필 링크: 클릭을 개별 글에 귀속하지 않음. 최신 실제 앱 화면으로 제작 후 asset_path 기록. 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.,GL-P009,,none,,,,,,,,not_collected
11,18:30,21:30,threads,대화,text,"처음 만나는 사람들과 한 시간을 보낸다면요.

짧게 산책하기, 카페에서 각자 할 일 하기, 읽는 책 이야기하기.
어떤 쪽이 덜 어색할까요?

실제 모임 모집이 아니라, 편한 만남의 방식을 묻는 질문이에요.

#글링 #동네생활 #모임아이디어",로컬 텍스트만. 실제 모집이 아니라는 최종 본문 설명 유지. 행사 일정·장소·참가자·링크를 만들지 않음.,편한 만남 방식 이야기(선택),,yes,draft,,,,, 2026-09-10T08:28:03-07:00: 사용자 지시로 로컬 초안만 유지. 명시적 재개 지시 전 예약·발행 금지. day/time은 재개 후 참고 편성안이며 예약 아님. | 2026-09-11 GL-L007: 직접 홍보 없는 로컬 초안. 본문·메타데이터 링크 미사용; 과거 URL/예약은 회차 이력. 소속 사칭·허구 경험 없음.,GL-P010,GL-L007,none,,,,,,,,not_collected
