day,time_vancouver,time_toronto,platform,pillar,format,copy,asset_brief,cta,link,evergreen,status,reach,profile_visits,link_clicks,waitlist_requests,notes
1,18:30,21:30,instagram,소개,carousel,"캐나다의 오늘을, 한국어로 나눌 곳.

밴쿠버의 저녁 메뉴부터 토론토에서 막 생긴 작은 질문까지. 가까운 동네 이야기를 모으는 글링을 준비하고 있어요.

먼저 열리는 도시는 밴쿠버와 토론토예요. 프로필 링크에서 둘러보고 오픈 알림을 신청해주세요.

#글링 #캐나다생활 #밴쿠버 #토론토 #한인커뮤니티",카드 3장: 캐나다의 오늘을 한국어로 / 밴쿠버·토론토 / 출시 준비 중·오픈 알림,소개 페이지·오픈 알림,https://dlwpdl.github.io/gling?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day01,yes,draft,,,,,
2,18:30,21:30,threads,소개,text,"캐나다에서 새로운 커뮤니티에 첫 글을 쓴다면 어떤 이야기부터 남기고 싶으세요?

밴쿠버와 토론토의 작은 동네 질문을 모으는 글링을 준비하고 있어요. 출시 소식은 프로필 링크에서 신청할 수 있어요.",텍스트만,소개 페이지·오픈 알림,https://dlwpdl.github.io/gling?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day02,yes,draft,,,,,
3,18:30,21:30,instagram,대화,question_card,"검색하기엔 너무 사소해서, 사람에게 묻고 싶은 질문.

혼자 밥 먹기 편한 분위기, 비 오는 날 걷기 좋은 길, 퇴근하고 잠깐 쉬는 곳. 동네에서는 이런 질문도 자주 생기죠.

지금 사는 도시와 함께 하나만 적어본다면요? 정확한 주소나 개인정보는 남기지 않아도 괜찮아요.

#글링 #우리동네 #캐나다일상 #밴쿠버생활 #토론토생활",질문 카드: 동네 사람에게 묻고 싶은 작은 질문 하나,도시·생활 주제 댓글,https://dlwpdl.github.io/gling?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day03,yes,draft,,,,,
4,18:30,21:30,threads,대화,text,"검색창에는 못 적겠고, 동네 사람에게는 물어보고 싶은 질문 있나요?
저녁 메뉴처럼 작은 질문이어도 좋아요. 밴쿠버인지 토론토인지부터 알려주세요.",텍스트만,도시·생활 주제 댓글,https://dlwpdl.github.io/gling?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day04,yes,draft,,,,,
5,18:30,21:30,instagram,만드는과정,screen_recording,"한 도시의 이야기부터 천천히 채우고 있어요.

글링에서는 먼저 밴쿠버와 토론토를 고르고, 관심 있는 주제로 글을 둘러볼 수 있어요. 출시를 준비하면서 운영자가 첫 이야기를 채우고 있어요.

어떤 카테고리를 가장 먼저 열어보고 싶으세요?

#글링 #앱개발일기 #캐나다커뮤니티",최신 앱 화면 녹화 10초: 도시 선택→카테고리. 이전 목업 표시가 남은 캡처 교체,보고 싶은 카테고리,https://dlwpdl.github.io/gling?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day05,yes,draft,,,,,
6,18:30,21:30,threads,만드는과정,text,"글링에는 라이프·맛집·여행·쇼핑·정착·이동·주거·교육·모임, 9개 카테고리가 있어요.
첫 화면에서 어떤 이야기가 보이면 한 번 더 들어와 보고 싶을까요?
운영자가 준비한 첫 이야기와 함께 시작할 분들을 기다리고 있어요.",텍스트만,보고 싶은 카테고리,https://dlwpdl.github.io/gling?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day06,yes,draft,,,,,
8,18:30,21:30,instagram,생활주제,carousel,"새 동네에 익숙해지는 데 필요한 건, 작은 루틴일지도.

1. 집 근처에서 편하게 걸을 길 찾기
2. 자주 먹는 한 끼 정해보기
3. 쉬어갈 장소 하나 기억하기

낯선 도시가 조금 편해졌던 순간을 하나 남겨주세요. 생활에 관한 이야기만으로도 누군가에게 도움이 될 수 있어요.

#글링 #캐나다정착 #동네생활",카드 4장: 새 동네 루틴 / 걷기 / 한 끼 / 쉬어갈 곳,정착 경험 댓글·저장,https://dlwpdl.github.io/gling?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day08,yes,draft,,,,,
9,18:30,21:30,threads,생활주제,text,"지도 없이 장을 보고 집에 돌아왔을 때. 자주 가는 가게가 생겼을 때.
새 동네가 조금 익숙해졌다고 느끼는 순간, 언제였어요?",텍스트만,정착 경험 댓글·저장,https://dlwpdl.github.io/gling?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day09,yes,draft,,,,,
10,18:30,21:30,instagram,대화,question_card,"첫 모임이 꼭 시끌벅적할 필요는 없으니까.

잠깐 산책하기, 카페에서 각자 할 일 하기, 읽는 책 한 권 이야기하기. 처음에도 덜 부담스러운 만남을 생각하고 있어요.

어떤 형식이 편할까요? 이 게시물은 모임 아이디어를 묻는 글이며 실제 행사 모집은 아닙니다.

#글링 #모임아이디어 #밴쿠버 #토론토",질문 카드 1장+스토리 투표. 확정 장소·일정·참가 인원 없음,모임 형식 투표,https://dlwpdl.github.io/gling?utm_source=instagram&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day10,yes,draft,,,,,
11,18:30,21:30,threads,대화,text,"처음 만나는 사람들과는 어떤 활동이 가장 편해요?
짧은 산책 / 각자 할 일 하기 / 책 이야기 / 다른 아이디어
글링에 어울릴 모임을 고민 중이에요. 아직 실제 행사 모집은 아닙니다.",텍스트만,모임 형식 투표,https://dlwpdl.github.io/gling?utm_source=threads&utm_medium=organic_social&utm_campaign=prelaunch&utm_content=day11,yes,draft,,,,,
